year,garda_division,total_incidents,division_detection_rate
2018,Cavan/Monaghan Division,5218,574.93
2018,Clare Division,3533,577.41
2018,"Co Cork, Cork City Division",521,230.33
2018,"Co Cork, Cork North Division",64,3750.0
2018,"Co Donegal, Donegal Division",56,2142.86
2018,"Co Dublin, D.M.R. Eastern Division",1002,119.76
2018,"Co Kerry, Cork West Division",59,2033.9
2018,"Co Louth, Louth Division",133,902.26
2018,"Co Mayo, Mayo Division",43,2790.7
2018,"Co Tipperary, Tipperary Division",103,1165.05
2018,"Co Waterford, Waterford Division",52,4615.38
2018,"Co. Cork, Cork West Division",113,1061.95
2018,"Co. Kerry, Kerry Division",37,3243.24
2018,"Co. Offaly, Laois/Offaly Division",35,3428.57
2018,"Co. Tipperary, Tipperary Division",22,5454.55
2018,Cork City Division,11543,155.94
2018,Cork North Division,4194,658.08
2018,Cork West Division,2546,1413.98
2018,D.M.R. Eastern Division,6707,71.57
2018,D.M.R. North Central Division,21596,22.23
2018,D.M.R. Northern Division,15969,97.69
2018,D.M.R. South Central Division,18146,33.07
2018,D.M.R. Southern Division,11937,60.32
2018,D.M.R. Western Division,16990,56.5
2018,Donegal Division,4343,994.7
2018,Galway Division,7567,729.48
2018,Kerry Division,5168,557.28
2018,Kildare Division,7333,245.47
2018,Kilkenny/Carlow Division,5183,578.82
2018,Laois/Offaly Division,6098,472.29
2018,Limerick Division,10623,327.59
2018,Louth Division,6335,227.31
2018,Mayo Division,3018,1113.32
2018,Meath Division,5486,349.98
2018,Roscommon/Longford Division,2864,921.79
2018,Sligo/Leitrim Division,3025,714.05
2018,Tipperary Division,5212,805.83
2018,Waterford Division,5658,360.55
2018,Westmeath Division,4266,365.68
2018,Wexford Division,4603,573.54
2018,Wicklow Division,4966,410.79
2019,Cavan/Monaghan Division,5377,557.93
2019,Clare Division,3336,611.51
2019,"Co Cork, Cork City Division",701,171.18
2019,"Co Cork, Cork North Division",80,3000.0
2019,"Co Donegal, Donegal Division",85,1411.76
2019,"Co Dublin, D.M.R. Eastern Division",1320,90.91
2019,"Co Kerry, Cork West Division",40,3000.0
2019,"Co Louth, Louth Division",192,625.0
2019,"Co Mayo, Mayo Division",38,3157.89
2019,"Co Tipperary, Tipperary Division",77,1558.44
2019,"Co Waterford, Waterford Division",50,4800.0
2019,"Co. Cork, Cork West Division",84,1428.57
2019,"Co. Kerry, Kerry Division",32,3750.0
2019,"Co. Offaly, Laois/Offaly Division",27,4444.44
2019,"Co. Tipperary, Tipperary Division",25,4800.0
2019,Cork City Division,11211,160.56
2019,Cork North Division,4476,616.62
2019,Cork West Division,2483,1449.86
2019,D.M.R. Eastern Division,6819,70.39
2019,D.M.R. North Central Division,22342,21.48
2019,D.M.R. Northern Division,17074,91.37
2019,D.M.R. South Central Division,18877,31.78
2019,D.M.R. Southern Division,13086,55.02
2019,D.M.R. Western Division,19592,49.0
2019,Donegal Division,5128,842.43
2019,Galway Division,7972,692.42
2019,Kerry Division,5474,526.12
2019,Kildare Division,7909,227.59
2019,Kilkenny/Carlow Division,5025,597.01
2019,Laois/Offaly Division,6297,457.36
