year,garda_station,incidents_station
2003,"11101 Bailieboro, Cavan/Monaghan Division",262
2003,"11102 Ballyjamesduff, Cavan/Monaghan Division",76
2003,"11103 Cootehill, Cavan/Monaghan Division",270
2003,"11104 Kingscourt, Cavan/Monaghan Division",137
2003,"11105 Mullagh, Cavan/Monaghan Division",29
2003,"11106 Shercock, Cavan/Monaghan Division",43
2003,"11108 Virginia, Cavan/Monaghan Division",136
2003,"11201 Ballyconnell, Cavan/Monaghan Division",92
2003,"11203 Belturbet, Cavan/Monaghan Division",112
2003,"11204 Blacklion, Cavan/Monaghan Division",40
2003,"11205 Dowra, Cavan/Monaghan Division",19
2003,"11206 Killeshandra, Cavan/Monaghan Division",30
2003,"11207 Swanlinbar, Cavan/Monaghan Division",13
2003,"11301 Ballybay, Cavan/Monaghan Division",133
2003,"11302 Carrickmacross, Cavan/Monaghan Division",693
2003,"11303 Castleblayney, Cavan/Monaghan Division",529
2003,"11305 Rockcorry, Cavan/Monaghan Division",7
2003,"11401 Arva, Cavan/Monaghan Division",30
2003,"11402 Ballinagh, Cavan/Monaghan Division",77
2003,"11403 Cavan, Cavan/Monaghan Division",996
2003,"11404 Kilnaleck, Cavan/Monaghan Division",69
2003,"11501 Clones, Cavan/Monaghan Division",230
2003,"11503 Emyvale, Cavan/Monaghan Division",116
2003,"11504 Monaghan, Cavan/Monaghan Division",975
2003,"11506 Scotstown, Cavan/Monaghan Division",48
2003,"12101 Ballintra, Donegal Division",101
2003,"12102 Ballyshannon, Donegal Division",334
2003,"12103 Bundoran, Donegal Division",331
2003,"12104 Donegal Town, Donegal Division",357
2003,"12106 Mountcharles, Donegal Division",46
2003,"12107 Na Cealla Beaga, Donegal Division",157
2003,"12108 Pettigo, Donegal Division",25
2003,"12201 Buncrana, Donegal Division",503
2003,"12202 Burnfoot, Donegal Division",142
2003,"12203 Carndonagh, Donegal Division",351
2003,"12204 Clonmany, Donegal Division",75
2003,"12207 Moville, Donegal Division",152
2003,"12208 Muff, Donegal Division",116
2003,"12301 Ballybofey, Donegal Division",394
2003,"12302 Carrigans, Donegal Division",123
2003,"12303 Castlefin, Donegal Division",112
2003,"12304 Convoy, Donegal Division",107
2003,"12305 Letterkenny, Donegal Division",1819
2003,"12306 Lifford, Donegal Division",132
2003,"12308 Newtowncunningham, Donegal Division",121
2003,"12309 Raphoe, Donegal Division",188
2003,"12401 An Craoslach, Donegal Division",11
2003,"12402 An Fail Carrach, Donegal Division",132
2003,"12403 Carraig Airt, Donegal Division",65
2003,"12404 Dun Fionnachaid, Donegal Division",57
2003,"12405 Kerrykeel, Donegal Division",68
2003,"12406 Kilmacrennan, Donegal Division",88
2003,"12408 Milford, Co Donegal, Donegal Division",162
2003,"12409 Ramelton, Donegal Division",73
2003,"12410 Rathmullen, Donegal Division",21
2003,"12501 Ailt an Chorraiin, Donegal Division",34
2003,"12502 An Bun Beag, Donegal Division",151
2003,"12503 An Charraig, Donegal Division",57
2003,"12504 An Clochain Liath, Donegal Division",195
2003,"12507 Ard an Raitha, Donegal Division",69
2003,"12508 Clogher, Donegal Division",32
2003,"12510 Na Gleannta, Donegal Division",172
2003,"13103 Ballymote, Sligo/Leitrim Division",80
2003,"13106 Enniscrone, Sligo/Leitrim Division",118
2003,"13107 Gurteen, Sligo/Leitrim Division",19
2003,"13108 Riverstown, Sligo/Leitrim Division",60
2003,"13109 Tubbercurry, Sligo/Leitrim Division",68
2003,"13201 Ballinamore, Sligo/Leitrim Division",53
2003,"13202 Carrick-On-Shannon, Sligo/Leitrim Division",275
2003,"13203 Carrigallen, Sligo/Leitrim Division",13
2003,"13206 Drumshambo, Sligo/Leitrim Division",93
2003,"13208 Kinlough, Sligo/Leitrim Division",75
2003,"13209 Manorhamilton, Sligo/Leitrim Division",169
