year,offence,incidents_offence
2003,"Attempts/threats to murder, assaults, harassments and related offences (03)",13537
2003,Burglary and related offences (07),25755
2003,Controlled drug offences (10),9295
2003,Damage to property and to the environment  offences (12),34022
2003,Dangerous or negligent acts (04),11962
2003,"Fraud, deception and related offences (09)",3637
2003,Kidnapping and related offences (05),97
2003,"Offences against government, justice procedures and organisation of crime (15)",6837
2003,Public order and other social code offences (13),45142
2003,"Robbery, extortion and hijacking offences (06)",2911
2003,Theft and related offences (08),73422
2003,Weapons and explosives offences (11),1914
2004,"Attempts/threats to murder, assaults, harassments and related offences (03)",13272
2004,Burglary and related offences (07),24897
2004,Controlled drug offences (10),9914
2004,Damage to property and to the environment  offences (12),37038
2004,Dangerous or negligent acts (04),12669
2004,"Fraud, deception and related offences (09)",3176
2004,Kidnapping and related offences (05),75
2004,"Offences against government, justice procedures and organisation of crime (15)",6461
2004,Public order and other social code offences (13),47782
2004,"Robbery, extortion and hijacking offences (06)",2716
2004,Theft and related offences (08),72190
2004,Weapons and explosives offences (11),2155
2005,"Attempts/threats to murder, assaults, harassments and related offences (03)",13685
2005,Burglary and related offences (07),26372
2005,Controlled drug offences (10),13346
2005,Damage to property and to the environment  offences (12),39714
2005,Dangerous or negligent acts (04),14705
2005,"Fraud, deception and related offences (09)",3740
2005,Kidnapping and related offences (05),74
2005,"Offences against government, justice procedures and organisation of crime (15)",7787
2005,Public order and other social code offences (13),55483
2005,"Robbery, extortion and hijacking offences (06)",2423
2005,Theft and related offences (08),73043
2005,Weapons and explosives offences (11),2553
2006,"Attempts/threats to murder, assaults, harassments and related offences (03)",15558
2006,Burglary and related offences (07),24825
2006,Controlled drug offences (10),14232
2006,Damage to property and to the environment  offences (12),43588
2006,Dangerous or negligent acts (04),19194
2006,"Fraud, deception and related offences (09)",4337
2006,Kidnapping and related offences (05),82
2006,"Offences against government, justice procedures and organisation of crime (15)",9482
2006,Public order and other social code offences (13),56600
2006,"Robbery, extortion and hijacking offences (06)",2489
2006,Theft and related offences (08),74519
2006,Weapons and explosives offences (11),3123
2007,"Attempts/threats to murder, assaults, harassments and related offences (03)",18143
2007,Burglary and related offences (07),24018
2007,Controlled drug offences (10),18523
2007,Damage to property and to the environment  offences (12),43277
2007,Dangerous or negligent acts (04),20728
2007,"Fraud, deception and related offences (09)",6274
2007,Kidnapping and related offences (05),108
2007,"Offences against government, justice procedures and organisation of crime (15)",10917
2007,Public order and other social code offences (13),60707
2007,"Robbery, extortion and hijacking offences (06)",2206
2007,Theft and related offences (08),75127
2007,Weapons and explosives offences (11),3598
2008,"Attempts/threats to murder, assaults, harassments and related offences (03)",19718
2008,Burglary and related offences (07),25282
2008,Controlled drug offences (10),23352
2008,Damage to property and to the environment  offences (12),44341
2008,Dangerous or negligent acts (04),19223
2008,"Fraud, deception and related offences (09)",5745
2008,Kidnapping and related offences (05),75
2008,"Offences against government, justice procedures and organisation of crime (15)",13191
2008,Public order and other social code offences (13),62071
2008,"Robbery, extortion and hijacking offences (06)",2329
2008,Theft and related offences (08),76807
2008,Weapons and explosives offences (11),4028
2009,"Attempts/threats to murder, assaults, harassments and related offences (03)",18917
2009,Burglary and related offences (07),27529
2009,Controlled drug offences (10),21865
2009,Damage to property and to the environment  offences (12),41905
2009,Dangerous or negligent acts (04),15030
2009,"Fraud, deception and related offences (09)",5228
2009,Kidnapping and related offences (05),142
2009,"Offences against government, justice procedures and organisation of crime (15)",11752
2009,Public order and other social code offences (13),57481
2009,"Robbery, extortion and hijacking offences (06)",2524
2009,Theft and related offences (08),76911
2009,Weapons and explosives offences (11),4092
2010,"Attempts/threats to murder, assaults, harassments and related offences (03)",18239
2010,Burglary and related offences (07),26124
2010,Controlled drug offences (10),19783
2010,Damage to property and to the environment  offences (12),38791
2010,Dangerous or negligent acts (04),11695
2010,"Fraud, deception and related offences (09)",5510
2010,Kidnapping and related offences (05),132
2010,"Offences against government, justice procedures and organisation of crime (15)",11195
2010,Public order and other social code offences (13),54848
2010,"Robbery, extortion and hijacking offences (06)",3238
2010,Theft and related offences (08),76655
2010,Weapons and explosives offences (11),4116
2011,"Attempts/threats to murder, assaults, harassments and related offences (03)",17168
2011,Burglary and related offences (07),28211
2011,Controlled drug offences (10),17567
2011,Damage to property and to the environment  offences (12),35131
2011,Dangerous or negligent acts (04),9686
2011,"Fraud, deception and related offences (09)",5499
2011,Kidnapping and related offences (05),115
2011,"Offences against government, justice procedures and organisation of crime (15)",10018
2011,Public order and other social code offences (13),48949
2011,"Robbery, extortion and hijacking offences (06)",2953
2011,Theft and related offences (08),76662
2011,Weapons and explosives offences (11),3484
2012,"Attempts/threats to murder, assaults, harassments and related offences (03)",15708
2012,Burglary and related offences (07),28470
2012,Controlled drug offences (10),16373
2012,Damage to property and to the environment  offences (12),32128
2012,Dangerous or negligent acts (04),8843
2012,"Fraud, deception and related offences (09)",5710
2012,Kidnapping and related offences (05),97
2012,"Offences against government, justice procedures and organisation of crime (15)",9434
2012,Public order and other social code offences (13),43784
2012,"Robbery, extortion and hijacking offences (06)",2812
2012,Theft and related offences (08),76134
2012,Weapons and explosives offences (11),3042
2013,"Attempts/threats to murder, assaults, harassments and related offences (03)",14367
2013,Burglary and related offences (07),26312
2013,Controlled drug offences (10),15323
2013,Damage to property and to the environment  offences (12),28765
2013,Dangerous or negligent acts (04),7490
2013,"Fraud, deception and related offences (09)",4795
2013,Kidnapping and related offences (05),121
2013,"Offences against government, justice procedures and organisation of crime (15)",9174
2013,Public order and other social code offences (13),36394
2013,"Robbery, extortion and hijacking offences (06)",2796
2013,Theft and related offences (08),78460
2013,Weapons and explosives offences (11),2737
2014,"Attempts/threats to murder, assaults, harassments and related offences (03)",15170
2014,Burglary and related offences (07),27710
2014,Controlled drug offences (10),15855
