division,year,total_incidents
Cavan/Monaghan,2003,5162
Cavan/Monaghan,2004,5612
Cavan/Monaghan,2005,6287
Cavan/Monaghan,2006,6632
Cavan/Monaghan,2007,7126
Cavan/Monaghan,2008,6648
Cavan/Monaghan,2009,6026
Cavan/Monaghan,2010,6025
Cavan/Monaghan,2011,5686
Cavan/Monaghan,2012,5176
Cavan/Monaghan,2013,4319
Cavan/Monaghan,2014,4273
Cavan/Monaghan,2015,4416
Cavan/Monaghan,2016,4385
Cavan/Monaghan,2017,4925
Cavan/Monaghan,2018,5218
Cavan/Monaghan,2019,5377
Cavan/Monaghan,2020,4359
Cavan/Monaghan,2021,4542
Cavan/Monaghan,2022,4790
Cavan/Monaghan,2023,4250
Cavan/Monaghan,2024,4014
Clare,2003,3826
Clare,2004,3787
Clare,2005,4321
Clare,2006,4860
Clare,2007,5528
Clare,2008,6007
Clare,2009,5470
Clare,2010,5200
Clare,2011,4287
Clare,2012,3998
Clare,2013,3867
Clare,2014,3750
Clare,2015,3947
Clare,2016,3660
Clare,2017,3447
Clare,2018,3533
Clare,2019,3336
Clare,2020,2930
Clare,2021,2932
Clare,2022,2993
Clare,2023,3239
Clare,2024,2963
Cork City,2003,14437
Cork City,2004,15146
Cork City,2005,16488
Cork City,2006,16555
Cork City,2007,17214
Cork City,2008,18488
Cork City,2009,16924
Cork City,2010,15894
Cork City,2011,15232
Cork City,2012,13878
Cork City,2013,12855
Cork City,2014,12366
Cork City,2015,12095
Cork City,2016,10984
Cork City,2017,11501
Cork City,2018,12064
Cork City,2019,11912
Cork City,2020,10318
Cork City,2021,10532
Cork City,2022,12183
Cork City,2023,11356
Cork City,2024,12095
Cork North,2003,4551
Cork North,2004,4545
Cork North,2005,5221
Cork North,2006,5584
Cork North,2007,5941
Cork North,2008,6080
Cork North,2009,5542
Cork North,2010,5266
Cork North,2011,4797
Cork North,2012,4657
Cork North,2013,4460
Cork North,2014,4320
Cork North,2015,4165
Cork North,2016,3783
Cork North,2017,4065
Cork North,2018,4258
Cork North,2019,4556
Cork North,2020,3956
Cork North,2021,4182
Cork North,2022,5218
Cork North,2023,4694
Cork North,2024,4184
Cork West,2003,3336
Cork West,2004,3418
Cork West,2005,3837
Cork West,2006,4487
Cork West,2007,4371
Cork West,2008,4912
