offence,year,total_incidents
"Attempts/threats to murder, assaults, harassments and related offences (03)",2003,13537
"Attempts/threats to murder, assaults, harassments and related offences (03)",2004,13273
"Attempts/threats to murder, assaults, harassments and related offences (03)",2005,13685
"Attempts/threats to murder, assaults, harassments and related offences (03)",2006,15558
"Attempts/threats to murder, assaults, harassments and related offences (03)",2007,18148
"Attempts/threats to murder, assaults, harassments and related offences (03)",2008,19721
"Attempts/threats to murder, assaults, harassments and related offences (03)",2009,18919
"Attempts/threats to murder, assaults, harassments and related offences (03)",2010,18239
"Attempts/threats to murder, assaults, harassments and related offences (03)",2011,17168
"Attempts/threats to murder, assaults, harassments and related offences (03)",2012,15708
"Attempts/threats to murder, assaults, harassments and related offences (03)",2013,14368
"Attempts/threats to murder, assaults, harassments and related offences (03)",2014,15169
"Attempts/threats to murder, assaults, harassments and related offences (03)",2015,16918
"Attempts/threats to murder, assaults, harassments and related offences (03)",2016,16723
"Attempts/threats to murder, assaults, harassments and related offences (03)",2017,18997
"Attempts/threats to murder, assaults, harassments and related offences (03)",2018,20192
"Attempts/threats to murder, assaults, harassments and related offences (03)",2019,21843
"Attempts/threats to murder, assaults, harassments and related offences (03)",2020,19081
"Attempts/threats to murder, assaults, harassments and related offences (03)",2021,20353
"Attempts/threats to murder, assaults, harassments and related offences (03)",2022,23870
"Attempts/threats to murder, assaults, harassments and related offences (03)",2023,23900
"Attempts/threats to murder, assaults, harassments and related offences (03)",2024,24691
Burglary and related offences (07),2003,25756
Burglary and related offences (07),2004,24899
Burglary and related offences (07),2005,26373
Burglary and related offences (07),2006,24827
Burglary and related offences (07),2007,24019
Burglary and related offences (07),2008,25283
Burglary and related offences (07),2009,27531
Burglary and related offences (07),2010,26125
Burglary and related offences (07),2011,28214
Burglary and related offences (07),2012,28471
Burglary and related offences (07),2013,26314
Burglary and related offences (07),2014,27713
Burglary and related offences (07),2015,26325
Burglary and related offences (07),2016,18588
Burglary and related offences (07),2017,19210
Burglary and related offences (07),2018,16961
Burglary and related offences (07),2019,16751
Burglary and related offences (07),2020,10886
Burglary and related offences (07),2021,8588
Burglary and related offences (07),2022,9460
Burglary and related offences (07),2023,9566
Burglary and related offences (07),2024,9743
Controlled drug offences (10),2003,9295
Controlled drug offences (10),2004,9914
Controlled drug offences (10),2005,13349
Controlled drug offences (10),2006,14233
Controlled drug offences (10),2007,18525
Controlled drug offences (10),2008,23353
Controlled drug offences (10),2009,21869
Controlled drug offences (10),2010,19784
Controlled drug offences (10),2011,17568
Controlled drug offences (10),2012,16376
Controlled drug offences (10),2013,15323
Controlled drug offences (10),2014,15855
Controlled drug offences (10),2015,15046
Controlled drug offences (10),2016,16018
Controlled drug offences (10),2017,16759
Controlled drug offences (10),2018,18275
Controlled drug offences (10),2019,21309
Controlled drug offences (10),2020,23120
Controlled drug offences (10),2021,19996
Controlled drug offences (10),2022,17280
Controlled drug offences (10),2023,17229
Controlled drug offences (10),2024,16090
Damage to property and to the environment  offences (12),2003,34025
Damage to property and to the environment  offences (12),2004,37042
Damage to property and to the environment  offences (12),2005,39715
Damage to property and to the environment  offences (12),2006,43590
Damage to property and to the environment  offences (12),2007,43278
Damage to property and to the environment  offences (12),2008,44346
Damage to property and to the environment  offences (12),2009,41906
Damage to property and to the environment  offences (12),2010,38796
Damage to property and to the environment  offences (12),2011,35132
Damage to property and to the environment  offences (12),2012,32130
Damage to property and to the environment  offences (12),2013,28767
Damage to property and to the environment  offences (12),2014,27334
Damage to property and to the environment  offences (12),2015,25943
Damage to property and to the environment  offences (12),2016,22175
Damage to property and to the environment  offences (12),2017,23136
Damage to property and to the environment  offences (12),2018,21515
Damage to property and to the environment  offences (12),2019,21917
Damage to property and to the environment  offences (12),2020,19523
Damage to property and to the environment  offences (12),2021,19307
Damage to property and to the environment  offences (12),2022,21708
Damage to property and to the environment  offences (12),2023,22436
Damage to property and to the environment  offences (12),2024,22092
Dangerous or negligent acts (04),2003,20008
Dangerous or negligent acts (04),2004,21940
Dangerous or negligent acts (04),2005,26374
Dangerous or negligent acts (04),2006,64870
Dangerous or negligent acts (04),2007,71094
Dangerous or negligent acts (04),2008,62013
Dangerous or negligent acts (04),2009,51612
Dangerous or negligent acts (04),2010,41855
Dangerous or negligent acts (04),2011,54680
Dangerous or negligent acts (04),2012,47928
Dangerous or negligent acts (04),2013,42310
Dangerous or negligent acts (04),2014,45376
Dangerous or negligent acts (04),2015,46045
Dangerous or negligent acts (04),2016,39036
Dangerous or negligent acts (04),2017,36053
Dangerous or negligent acts (04),2018,33815
Dangerous or negligent acts (04),2019,34053
Dangerous or negligent acts (04),2020,37803
Dangerous or negligent acts (04),2021,36262
Dangerous or negligent acts (04),2022,36006
Dangerous or negligent acts (04),2023,34178
Dangerous or negligent acts (04),2024,31828
"Fraud, deception and related offences (09)",2003,3637
"Fraud, deception and related offences (09)",2004,3176
"Fraud, deception and related offences (09)",2005,3740
