region,year,total_incidents
Dublin Metropolitan Region,2003,95531
Dublin Metropolitan Region,2004,99181
Dublin Metropolitan Region,2005,101980
Dublin Metropolitan Region,2006,103743
Dublin Metropolitan Region,2007,108322
Dublin Metropolitan Region,2008,115844
Dublin Metropolitan Region,2009,111171
Dublin Metropolitan Region,2010,108472
Dublin Metropolitan Region,2011,103296
Dublin Metropolitan Region,2012,100211
Dublin Metropolitan Region,2013,94683
Dublin Metropolitan Region,2014,96315
Dublin Metropolitan Region,2015,97133
Dublin Metropolitan Region,2016,85366
Dublin Metropolitan Region,2017,90957
Dublin Metropolitan Region,2018,92347
Dublin Metropolitan Region,2019,99110
Dublin Metropolitan Region,2020,81975
Dublin Metropolitan Region,2021,77890
Dublin Metropolitan Region,2022,91766
Dublin Metropolitan Region,2023,89110
Dublin Metropolitan Region,2024,92093
Eastern Region,2003,39101
Eastern Region,2004,39595
Eastern Region,2005,45282
Eastern Region,2006,48298
Eastern Region,2007,53376
Eastern Region,2008,55490
Eastern Region,2009,54413
Eastern Region,2010,51250
Eastern Region,2011,49838
Eastern Region,2012,47404
Eastern Region,2013,43868
Eastern Region,2014,42617
Eastern Region,2015,41328
Eastern Region,2016,36458
Eastern Region,2017,40324
Eastern Region,2018,39255
Eastern Region,2019,41601
Eastern Region,2020,33772
Eastern Region,2021,34511
Eastern Region,2022,38770
Eastern Region,2023,38389
Eastern Region,2024,39705
North Western Region,2003,15442
North Western Region,2004,14074
North Western Region,2005,16048
North Western Region,2006,16936
North Western Region,2007,18461
North Western Region,2008,18858
North Western Region,2009,17188
North Western Region,2010,15006
North Western Region,2011,14133
North Western Region,2012,12969
North Western Region,2013,11838
North Western Region,2014,11274
North Western Region,2015,11079
North Western Region,2016,10239
North Western Region,2017,10493
North Western Region,2018,10485
North Western Region,2019,11298
North Western Region,2020,9337
North Western Region,2021,9860
North Western Region,2022,10281
North Western Region,2023,9786
North Western Region,2024,9706
Northern Region,2003,5162
Northern Region,2004,5612
Northern Region,2005,6287
Northern Region,2006,6632
Northern Region,2007,7126
Northern Region,2008,6648
Northern Region,2009,6026
Northern Region,2010,6025
Northern Region,2011,5686
Northern Region,2012,5176
Northern Region,2013,4319
Northern Region,2014,4273
Northern Region,2015,4416
Northern Region,2016,4385
Northern Region,2017,4925
Northern Region,2018,5218
Northern Region,2019,5377
Northern Region,2020,4359
Northern Region,2021,4542
Northern Region,2022,4790
Northern Region,2023,4250
Northern Region,2024,4014
Southern Region,2003,61279
Southern Region,2004,62288
Southern Region,2005,70218
Southern Region,2006,77413
Southern Region,2007,80140
Southern Region,2008,82509
Southern Region,2009,78144
Southern Region,2010,74602
Southern Region,2011,69360
Southern Region,2012,63838
Southern Region,2013,60266
Southern Region,2014,57683
Southern Region,2015,57280
Southern Region,2016,49898
Southern Region,2017,52924
Southern Region,2018,54631
Southern Region,2019,53670
Southern Region,2020,46689
Southern Region,2021,48689
Southern Region,2022,53556
Southern Region,2023,52170
Southern Region,2024,51426
Western Region,2003,12016
Western Region,2004,11595
Western Region,2005,13110
Western Region,2006,15007
Western Region,2007,16201
Western Region,2008,16813
Western Region,2009,16434
Western Region,2010,14971
Western Region,2011,13130
Western Region,2012,12937
Western Region,2013,11760
Western Region,2014,11612
Western Region,2015,11481
Western Region,2016,10218
Western Region,2017,11264
Western Region,2018,10431
Western Region,2019,11258
Western Region,2020,9641
Western Region,2021,10301
Western Region,2022,10873
Western Region,2023,11015
Western Region,2024,10381
