station_name,division,year,total_incidents
5 Carrig na Bhfear,Cork City,2003,59
5 Carrig na Bhfear,Cork City,2004,35
5 Carrig na Bhfear,Cork City,2005,69
5 Carrig na Bhfear,Cork City,2006,72
5 Carrig na Bhfear,Cork City,2007,74
5 Carrig na Bhfear,Cork City,2008,75
5 Carrig na Bhfear,Cork City,2009,76
5 Carrig na Bhfear,Cork City,2010,87
5 Carrig na Bhfear,Cork City,2011,96
5 Carrig na Bhfear,Cork City,2012,64
5 Carrig na Bhfear,Cork City,2013,63
5 Carrig na Bhfear,Cork City,2014,64
5 Carrig na Bhfear,Cork City,2015,24
5 Carrig na Bhfear,Cork City,2016,27
5 Carrig na Bhfear,Cork City,2017,42
5 Carrig na Bhfear,Cork City,2018,31
5 Carrig na Bhfear,Cork City,2019,35
5 Carrig na Bhfear,Cork City,2020,26
5 Carrig na Bhfear,Cork City,2021,68
5 Carrig na Bhfear,Cork City,2022,36
5 Carrig na Bhfear,Cork City,2023,42
5 Carrig na Bhfear,Cork City,2024,38
Abbeyfeale,Limerick,2003,148
Abbeyfeale,Limerick,2004,152
Abbeyfeale,Limerick,2005,347
Abbeyfeale,Limerick,2006,530
Abbeyfeale,Limerick,2007,450
Abbeyfeale,Limerick,2008,598
Abbeyfeale,Limerick,2009,555
Abbeyfeale,Limerick,2010,534
Abbeyfeale,Limerick,2011,681
Abbeyfeale,Limerick,2012,631
Abbeyfeale,Limerick,2013,697
Abbeyfeale,Limerick,2014,835
Abbeyfeale,Limerick,2015,869
Abbeyfeale,Limerick,2016,601
Abbeyfeale,Limerick,2017,450
Abbeyfeale,Limerick,2018,430
Abbeyfeale,Limerick,2019,345
Abbeyfeale,Limerick,2020,310
Abbeyfeale,Limerick,2021,335
Abbeyfeale,Limerick,2022,276
Abbeyfeale,Limerick,2023,163
Abbeyfeale,Limerick,2024,184
Abbeyleix,Laois/Offaly,2003,203
Abbeyleix,Laois/Offaly,2004,227
Abbeyleix,Laois/Offaly,2005,320
Abbeyleix,Laois/Offaly,2006,493
Abbeyleix,Laois/Offaly,2007,515
Abbeyleix,Laois/Offaly,2008,675
Abbeyleix,Laois/Offaly,2009,518
Abbeyleix,Laois/Offaly,2010,352
Abbeyleix,Laois/Offaly,2011,337
Abbeyleix,Laois/Offaly,2012,340
Abbeyleix,Laois/Offaly,2013,297
Abbeyleix,Laois/Offaly,2014,303
Abbeyleix,Laois/Offaly,2015,352
Abbeyleix,Laois/Offaly,2016,265
Abbeyleix,Laois/Offaly,2017,240
Abbeyleix,Laois/Offaly,2018,235
Abbeyleix,Laois/Offaly,2019,296
Abbeyleix,Laois/Offaly,2020,269
Abbeyleix,Laois/Offaly,2021,248
Abbeyleix,Laois/Offaly,2022,173
Abbeyleix,Laois/Offaly,2023,186
Abbeyleix,Laois/Offaly,2024,200
Adare,Limerick,2003,92
Adare,Limerick,2004,96
Adare,Limerick,2005,180
Adare,Limerick,2006,296
Adare,Limerick,2007,212
Adare,Limerick,2008,192
Adare,Limerick,2009,283
Adare,Limerick,2010,262
Adare,Limerick,2011,406
Adare,Limerick,2012,395
Adare,Limerick,2013,581
Adare,Limerick,2014,440
Adare,Limerick,2015,521
Adare,Limerick,2016,379
Adare,Limerick,2017,341
Adare,Limerick,2018,291
Adare,Limerick,2019,259
Adare,Limerick,2020,204
Adare,Limerick,2021,152
Adare,Limerick,2022,142
Adare,Limerick,2023,176
Adare,Limerick,2024,147
Aglish,Waterford,2003,31
Aglish,Waterford,2004,23
Aglish,Waterford,2005,17
Aglish,Waterford,2006,32
Aglish,Waterford,2007,44
Aglish,Waterford,2008,39
Aglish,Waterford,2009,32
Aglish,Waterford,2010,17
Aglish,Waterford,2011,37
Aglish,Waterford,2012,25
Aglish,Waterford,2013,34
Aglish,Waterford,2014,31
Aglish,Waterford,2015,37
Aglish,Waterford,2016,28
Aglish,Waterford,2017,25
Aglish,Waterford,2018,31
Aglish,Waterford,2019,24
Aglish,Waterford,2020,34
Aglish,Waterford,2021,41
Aglish,Waterford,2022,44
Aglish,Waterford,2023,33
Aglish,Waterford,2024,28
Ahascragh,Galway,2003,19
Ahascragh,Galway,2004,40
Ahascragh,Galway,2005,44
Ahascragh,Galway,2006,58
Ahascragh,Galway,2007,67
Ahascragh,Galway,2008,61
Ahascragh,Galway,2009,80
Ahascragh,Galway,2010,48
Ahascragh,Galway,2011,58
Ahascragh,Galway,2012,66
Ahascragh,Galway,2013,77
Ahascragh,Galway,2014,81
Ahascragh,Galway,2015,79
Ahascragh,Galway,2016,75
Ahascragh,Galway,2017,68
Ahascragh,Galway,2018,54
Ahascragh,Galway,2019,34
Ahascragh,Galway,2020,42
Ahascragh,Galway,2021,24
Ahascragh,Galway,2022,59
Ahascragh,Galway,2023,55
Ahascragh,Galway,2024,63
Ailt an Chorraiin,Donegal,2003,40
Ailt an Chorraiin,Donegal,2004,29
Ailt an Chorraiin,Donegal,2005,96
Ailt an Chorraiin,Donegal,2006,76
Ailt an Chorraiin,Donegal,2007,105
Ailt an Chorraiin,Donegal,2008,69
Ailt an Chorraiin,Donegal,2009,71
Ailt an Chorraiin,Donegal,2010,104
Ailt an Chorraiin,Donegal,2011,41
Ailt an Chorraiin,Donegal,2012,44
Ailt an Chorraiin,Donegal,2013,46
Ailt an Chorraiin,Donegal,2014,31
Ailt an Chorraiin,Donegal,2015,30
Ailt an Chorraiin,Donegal,2016,35
Ailt an Chorraiin,Donegal,2017,33
Ailt an Chorraiin,Donegal,2018,41
Ailt an Chorraiin,Donegal,2019,18
Ailt an Chorraiin,Donegal,2020,14
Ailt an Chorraiin,Donegal,2021,36
Ailt an Chorraiin,Donegal,2022,20
Ailt an Chorraiin,Donegal,2023,27
Ailt an Chorraiin,Donegal,2024,24
An Bun Beag,Donegal,2003,192
An Bun Beag,Donegal,2004,207
An Bun Beag,Donegal,2005,248
An Bun Beag,Donegal,2006,318
An Bun Beag,Donegal,2007,262
