division,year,total_incidents,level_code,prediction
Cavan/Monaghan,2022,4790,0,4533.2266666666665
Cavan/Monaghan,2023,4250,0,4533.2266666666665
Clare,2022,2993,1,3099.16
Clare,2023,3239,1,3099.16
Cork City,2022,12183,2,9664.783333333333
Cork City,2023,11356,2,9664.783333333333
Cork North,2022,5218,3,4354.61
Cork North,2023,4694,3,4354.61
Cork West,2022,2306,4,2543.5333333333333
Cork West,2023,2136,4,2543.5333333333333
DMR East,2022,7405,5,7029.17
DMR East,2023,6856,5,7029.17
DMR North,2022,15770,6,14511.77
DMR North,2023,15778,6,14511.77
DMR North Central,2022,20017,7,15137.49
DMR North Central,2023,21313,7,15137.49
DMR South,2022,11993,8,11137.27
DMR South,2023,10877,8,11137.27
DMR South Central,2022,17119,9,13697.35
DMR South Central,2023,16991,9,13697.35
DMR West,2022,19462,10,16860.52
DMR West,2023,17295,10,16860.52
Donegal,2022,4595,11,4892.946666666667
Donegal,2023,4506,11,4892.946666666667
Galway,2022,8082,12,6937.866666666667
Galway,2023,8144,12,6937.866666666667
Kerry,2022,5095,13,4697.823333333334
Kerry,2023,4865,13,4697.823333333334
Kildare,2022,8094,14,6204.716666666666
Kildare,2023,7956,14,6204.716666666666
Kilkenny/Carlow,2022,4509,15,4428.513333333333
Kilkenny/Carlow,2023,4453,15,4428.513333333333
Laois/Offaly,2022,6175,16,5031.75
Laois/Offaly,2023,5655,16,5031.75
Limerick,2022,9802,17,9315.446666666667
Limerick,2023,9953,17,9315.446666666667
Louth,2022,6272,18,6329.39
Louth,2023,6154,18,6329.39
Mayo,2022,2850,19,2920.4466666666667
Mayo,2023,2616,19,2920.4466666666667
Meath,2022,5337,20,4824.366666666667
Meath,2023,5679,20,4824.366666666667
Roscommon/Longford,2022,2791,21,2836.14
Roscommon/Longford,2023,2871,21,2836.14
Sligo/Leitrim,2022,2836,22,2754.5233333333335
Sligo/Leitrim,2023,2664,22,2754.5233333333335
Tipperary,2022,5165,23,4754.65
Tipperary,2023,5340,23,4754.65
Waterford,2022,6285,24,5298.636666666666
Waterford,2023,6134,24,5298.636666666666
Westmeath,2022,4035,25,3319.1766666666667
Westmeath,2023,4287,25,3319.1766666666667
Wexford,2022,4782,26,4107.74
Wexford,2023,4689,26,4107.74
Wicklow,2022,4075,27,4318.003333333333
Wicklow,2023,3969,27,4318.003333333333
