division,year,total_incidents,level_code,prediction
Cavan/Monaghan,2018,8225,0,
Cavan/Monaghan,2019,8368,0,
Cavan/Monaghan,2020,7086,0,
Cavan/Monaghan,2021,7012,0,
Cavan/Monaghan,2022,6693,0,7077.2733333333335
Cavan/Monaghan,2023,6526,0,7077.2733333333335
Clare,2018,6270,1,
Clare,2019,5291,1,
Clare,2020,4822,1,
Clare,2021,4699,1,
Clare,2022,4674,1,4988.616666666667
Clare,2023,5023,1,4988.616666666667
Cork City,2018,16709,2,
Cork City,2019,15801,2,
Cork City,2020,14467,2,
Cork City,2021,15845,2,
Cork City,2022,15792,2,14061.183333333332
Cork City,2023,14995,2,14061.183333333332
Cork North,2018,7902,3,
Cork North,2019,7517,3,
Cork North,2020,7053,3,
Cork North,2021,7296,3,
Cork North,2022,7640,3,7528.766666666666
Cork North,2023,6932,3,7528.766666666666
Cork West,2018,5119,4,
Cork West,2019,4596,4,
Cork West,2020,3731,4,
Cork West,2021,3916,4,
Cork West,2022,3647,4,4326.753333333333
Cork West,2023,3557,4,4326.753333333333
DMR East,2018,9614,5,
DMR East,2019,10230,5,
DMR East,2020,9508,5,
DMR East,2021,8586,5,
DMR East,2022,8828,5,8734.943333333333
DMR East,2023,8442,5,8734.943333333333
DMR North,2018,22614,6,
DMR North,2019,23200,6,
DMR North,2020,21069,6,
DMR North,2021,24181,6,
DMR North,2022,20369,6,22581.22
DMR North,2023,21256,6,22581.22
DMR North Central,2018,25608,7,
DMR North Central,2019,26357,7,
DMR North Central,2020,19150,7,
DMR North Central,2021,19502,7,
DMR North Central,2022,23097,7,20409.24
DMR North Central,2023,24825,7,20409.24
DMR South,2018,16956,8,
DMR South,2019,18297,8,
DMR South,2020,15957,8,
DMR South,2021,14113,8,
DMR South,2022,15658,8,15073.68
DMR South,2023,14784,8,15073.68
DMR South Central,2018,21281,9,
DMR South Central,2019,21989,9,
DMR South Central,2020,17249,9,
DMR South Central,2021,16621,9,
DMR South Central,2022,20116,9,16809.463333333333
DMR South Central,2023,20265,9,16809.463333333333
DMR West,2018,23996,10,
DMR West,2019,26758,10,
DMR West,2020,27025,10,
DMR West,2021,25555,10,
DMR West,2022,25833,10,24575.883333333335
DMR West,2023,23650,10,24575.883333333335
Donegal,2018,7963,11,
Donegal,2019,8498,11,
Donegal,2020,7317,11,
Donegal,2021,7373,11,
Donegal,2022,6550,11,8253.03
Donegal,2023,6717,11,8253.03
Galway,2018,13410,12,
Galway,2019,13348,12,
Galway,2020,12052,12,
Galway,2021,12083,12,
Galway,2022,12752,12,11612.723333333333
Galway,2023,12901,12,11612.723333333333
Kerry,2018,7999,13,
Kerry,2019,8004,13,
Kerry,2020,6256,13,
Kerry,2021,6383,13,
Kerry,2022,6838,13,7150.73
Kerry,2023,7069,13,7150.73
Kildare,2018,13013,14,
Kildare,2019,12745,14,
Kildare,2020,11139,14,
Kildare,2021,12586,14,
Kildare,2022,12693,14,11490.353333333333
Kildare,2023,12166,14,11490.353333333333
Kilkenny/Carlow,2018,8065,15,
Kilkenny/Carlow,2019,7440,15,
Kilkenny/Carlow,2020,6669,15,
Kilkenny/Carlow,2021,6907,15,
Kilkenny/Carlow,2022,6233,15,7195.9766666666665
Kilkenny/Carlow,2023,6790,15,7195.9766666666665
Laois/Offaly,2018,9304,16,
Laois/Offaly,2019,9534,16,
Laois/Offaly,2020,8291,16,
Laois/Offaly,2021,8829,16,
Laois/Offaly,2022,8896,16,8719.15
Laois/Offaly,2023,8491,16,8719.15
Limerick,2018,17856,17,
Limerick,2019,16651,17,
Limerick,2020,14072,17,
Limerick,2021,14510,17,
Limerick,2022,13960,17,14243.483333333334
Limerick,2023,14095,17,14243.483333333334
Louth,2018,9047,18,
Louth,2019,8965,18,
Louth,2020,8931,18,
Louth,2021,8946,18,
Louth,2022,8481,18,9237.083333333334
Louth,2023,8487,18,9237.083333333334
Mayo,2018,4667,19,
Mayo,2019,4727,19,
Mayo,2020,4066,19,
Mayo,2021,4509,19,
Mayo,2022,4060,19,4586.12
Mayo,2023,4053,19,4586.12
Meath,2018,8150,20,
Meath,2019,7927,20,
Meath,2020,8297,20,
Meath,2021,7763,20,
Meath,2022,7472,20,7558.91
Meath,2023,8123,20,7558.91
Roscommon/Longford,2018,5207,21,
Roscommon/Longford,2019,5245,21,
Roscommon/Longford,2020,5081,21,
Roscommon/Longford,2021,4902,21,
Roscommon/Longford,2022,4332,21,4954.703333333333
Roscommon/Longford,2023,4499,21,4954.703333333333
Sligo/Leitrim,2018,4772,22,
Sligo/Leitrim,2019,4763,22,
Sligo/Leitrim,2020,3805,22,
Sligo/Leitrim,2021,4066,22,
Sligo/Leitrim,2022,3691,22,4182.99
Sligo/Leitrim,2023,3651,22,4182.99
Tipperary,2018,8317,23,
Tipperary,2019,7837,23,
Tipperary,2020,7995,23,
Tipperary,2021,8598,23,
Tipperary,2022,9840,23,8223.003333333334
Tipperary,2023,11084,23,8223.003333333334
Waterford,2018,8607,24,
Waterford,2019,8424,24,
Waterford,2020,8027,24,
Waterford,2021,8682,24,
Waterford,2022,8675,24,8515.093333333334
Waterford,2023,8500,24,8515.093333333334
Westmeath,2018,5780,25,
Westmeath,2019,6326,25,
Westmeath,2020,4556,25,
Westmeath,2021,4889,25,
Westmeath,2022,5690,25,5020.39
Westmeath,2023,6282,25,5020.39
Wexford,2018,7520,26,
Wexford,2019,7107,26,
Wexford,2020,6590,26,
Wexford,2021,6882,26,
Wexford,2022,6927,26,6803.8133333333335
Wexford,2023,7214,26,6803.8133333333335
Wicklow,2018,8046,27,
Wicklow,2019,8736,27,
Wicklow,2020,8016,27,
Wicklow,2021,7334,27,
Wicklow,2022,5957,27,7520.406666666667
Wicklow,2023,5899,27,7520.406666666667
