region,year,total_incidents,level_code,prediction
Dublin Metropolitan Region,2018,92347,0,
Dublin Metropolitan Region,2019,99110,0,
Dublin Metropolitan Region,2020,81975,0,
Dublin Metropolitan Region,2021,77890,0,
Dublin Metropolitan Region,2022,91766,0,80938.83
Dublin Metropolitan Region,2023,89110,0,80938.83
Eastern Region,2018,39255,1,
Eastern Region,2019,41601,1,
Eastern Region,2020,33772,1,
Eastern Region,2021,34511,1,
Eastern Region,2022,38770,1,35128.96
Eastern Region,2023,38389,1,35128.96
North Western Region,2018,10485,2,
North Western Region,2019,11298,2,
North Western Region,2020,9337,2,
North Western Region,2021,9860,2,
North Western Region,2022,10281,2,10461.773333333333
North Western Region,2023,9786,2,10461.773333333333
Northern Region,2018,5218,3,
Northern Region,2019,5377,3,
Northern Region,2020,4359,3,
Northern Region,2021,4542,3,
Northern Region,2022,4790,3,5336.57
Northern Region,2023,4250,3,5336.57
Southern Region,2018,54631,4,
Southern Region,2019,53670,4,
Southern Region,2020,46689,4,
Southern Region,2021,48689,4,
Southern Region,2022,53556,4,46389.88
Southern Region,2023,52170,4,46389.88
Western Region,2018,10431,5,
Western Region,2019,11258,5,
Western Region,2020,9641,5,
Western Region,2021,10301,5,
Western Region,2022,10873,5,11872.796666666667
Western Region,2023,11015,5,11872.796666666667
