"STATISTIC","Statistic Label","TLIST(A1)","Year","C02480V03003","Offence Group","C02199V02655","Sex","UNIT","VALUE"
"RCD08C01","Recorded crime suspected offenders","2018","2018","01","Homicide Offences","-","Both sexes","Number","75"
"RCD08C01","Recorded crime suspected offenders","2018","2018","01","Homicide Offences","1","Male","Number","65"
"RCD08C01","Recorded crime suspected offenders","2018","2018","01","Homicide Offences","2","Female","Number","10"
"RCD08C01","Recorded crime suspected offenders","2018","2018","011","Murder/Manslaughter/Infanticide","-","Both sexes","Number","37"
"RCD08C01","Recorded crime suspected offenders","2018","2018","011","Murder/Manslaughter/Infanticide","1","Male","Number","33"
"RCD08C01","Recorded crime suspected offenders","2018","2018","011","Murder/Manslaughter/Infanticide","2","Female","Number","4"
"RCD08C01","Recorded crime suspected offenders","2018","2018","012","Dangerous Driving Leading to death","-","Both sexes","Number","38"
"RCD08C01","Recorded crime suspected offenders","2018","2018","012","Dangerous Driving Leading to death","1","Male","Number","32"
"RCD08C01","Recorded crime suspected offenders","2018","2018","012","Dangerous Driving Leading to death","2","Female","Number","6"
"RCD08C01","Recorded crime suspected offenders","2018","2018","02","Sexual Offences","-","Both sexes","Number","872"
"RCD08C01","Recorded crime suspected offenders","2018","2018","02","Sexual Offences","1","Male","Number","854"
"RCD08C01","Recorded crime suspected offenders","2018","2018","02","Sexual Offences","2","Female","Number","18"
"RCD08C01","Recorded crime suspected offenders","2018","2018","021","Rape & Sexual Assault","-","Both sexes","Number","748"
"RCD08C01","Recorded crime suspected offenders","2018","2018","021","Rape & Sexual Assault","1","Male","Number","737"
"RCD08C01","Recorded crime suspected offenders","2018","2018","021","Rape & Sexual Assault","2","Female","Number","11"
"RCD08C01","Recorded crime suspected offenders","2018","2018","022","Other Sexual offences","-","Both sexes","Number","124"
"RCD08C01","Recorded crime suspected offenders","2018","2018","022","Other Sexual offences","1","Male","Number","117"
"RCD08C01","Recorded crime suspected offenders","2018","2018","022","Other Sexual offences","2","Female","Number","7"
"RCD08C01","Recorded crime suspected offenders","2018","2018","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","-","Both sexes","Number","7739"
"RCD08C01","Recorded crime suspected offenders","2018","2018","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","1","Male","Number","6243"
"RCD08C01","Recorded crime suspected offenders","2018","2018","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","2","Female","Number","1496"
"RCD08C01","Recorded crime suspected offenders","2018","2018","031","Attempts/Threats to Murder","-","Both sexes","Number","360"
"RCD08C01","Recorded crime suspected offenders","2018","2018","031","Attempts/Threats to Murder","1","Male","Number","338"
"RCD08C01","Recorded crime suspected offenders","2018","2018","031","Attempts/Threats to Murder","2","Female","Number","22"
"RCD08C01","Recorded crime suspected offenders","2018","2018","032","Assaults","-","Both sexes","Number","7186"
"RCD08C01","Recorded crime suspected offenders","2018","2018","032","Assaults","1","Male","Number","5743"
"RCD08C01","Recorded crime suspected offenders","2018","2018","032","Assaults","2","Female","Number","1443"
"RCD08C01","Recorded crime suspected offenders","2018","2018","033","Harassment & Related offences","-","Both sexes","Number","193"
"RCD08C01","Recorded crime suspected offenders","2018","2018","033","Harassment & Related offences","1","Male","Number","162"
"RCD08C01","Recorded crime suspected offenders","2018","2018","033","Harassment & Related offences","2","Female","Number","31"
"RCD08C01","Recorded crime suspected offenders","2018","2018","04","Dangerous or Negligent Acts","-","Both sexes","Number","7303"
"RCD08C01","Recorded crime suspected offenders","2018","2018","04","Dangerous or Negligent Acts","1","Male","Number","6276"
"RCD08C01","Recorded crime suspected offenders","2018","2018","04","Dangerous or Negligent Acts","2","Female","Number","1027"
"RCD08C01","Recorded crime suspected offenders","2018","2018","05","Kidnapping and Related Offences","-","Both sexes","Number","67"
"RCD08C01","Recorded crime suspected offenders","2018","2018","05","Kidnapping and Related Offences","1","Male","Number","56"
"RCD08C01","Recorded crime suspected offenders","2018","2018","05","Kidnapping and Related Offences","2","Female","Number","11"
"RCD08C01","Recorded crime suspected offenders","2018","2018","06","Robbery, Extortion and Hijacking Offences","-","Both sexes","Number","1011"
"RCD08C01","Recorded crime suspected offenders","2018","2018","06","Robbery, Extortion and Hijacking Offences","1","Male","Number","905"
"RCD08C01","Recorded crime suspected offenders","2018","2018","06","Robbery, Extortion and Hijacking Offences","2","Female","Number","106"
"RCD08C01","Recorded crime suspected offenders","2018","2018","07","Burglary and Related Offences","-","Both sexes","Number","3786"
"RCD08C01","Recorded crime suspected offenders","2018","2018","07","Burglary and Related Offences","1","Male","Number","3486"
"RCD08C01","Recorded crime suspected offenders","2018","2018","07","Burglary and Related Offences","2","Female","Number","300"
"RCD08C01","Recorded crime suspected offenders","2018","2018","08","Theft and Related Offences","-","Both sexes","Number","26283"
"RCD08C01","Recorded crime suspected offenders","2018","2018","08","Theft and Related Offences","1","Male","Number","16168"
"RCD08C01","Recorded crime suspected offenders","2018","2018","08","Theft and Related Offences","2","Female","Number","10115"
"RCD08C01","Recorded crime suspected offenders","2018","2018","09","Fraud, Deception and Related Offences","-","Both sexes","Number","1963"
"RCD08C01","Recorded crime suspected offenders","2018","2018","09","Fraud, Deception and Related Offences","1","Male","Number","1496"
"RCD08C01","Recorded crime suspected offenders","2018","2018","09","Fraud, Deception and Related Offences","2","Female","Number","467"
