"STATISTIC","Statistic Label","TLIST(A1)","Year","C02480V03003","Type of Offence","UNIT","VALUE"
"RCD04C01","Crime incident detection rates","2018","2018","01","Homicide offences","%","82"
"RCD04C01","Crime incident detection rates","2018","2018","011","Murder/manslaughter/infanticide","%","75"
"RCD04C01","Crime incident detection rates","2018","2018","012","Dangerous driving leading to death","%","90"
"RCD04C01","Crime incident detection rates","2018","2018","02","Sexual Offences","%","26"
"RCD04C01","Crime incident detection rates","2018","2018","021","Rape and sexual assault","%","26"
"RCD04C01","Crime incident detection rates","2018","2018","022","Other sexual offences","%","30"
"RCD04C01","Crime incident detection rates","2018","2018","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","%","35"
"RCD04C01","Crime incident detection rates","2018","2018","0311","Murder-attempt","%","43"
"RCD04C01","Crime incident detection rates","2018","2018","0313","Threat to kill or cause serious harm","%","32"
"RCD04C01","Crime incident detection rates","2018","2018","033","Harassment and related offences","%","11"
"RCD04C01","Crime incident detection rates","2018","2018","034","Assault causing harm, poisoning","%","49"
"RCD04C01","Crime incident detection rates","2018","2018","035","Other assault","%","34"
"RCD04C01","Crime incident detection rates","2018","2018","04","Dangerous of negligent acts","%","85"
"RCD04C01","Crime incident detection rates","2018","2018","041","Dangerous or negligent operation of a vehicle","%","91"
"RCD04C01","Crime incident detection rates","2018","2018","042","Other dangerous or negligent acts","%","30"
"RCD04C01","Crime incident detection rates","2018","2018","05","Kidnapping and related offences","%","39"
"RCD04C01","Crime incident detection rates","2018","2018","0511","False imprisonment","%","46"
"RCD04C01","Crime incident detection rates","2018","2018","0512","Abduction of person under 16 years of age","%","24"
"RCD04C01","Crime incident detection rates","2018","2018","0513","Human trafficking offences","%","27"
"RCD04C01","Crime incident detection rates","2018","2018","06","Robbery, extortion and hijacking offences","%","31"
"RCD04C01","Crime incident detection rates","2018","2018","0611","Robbery of an establishment or institution","%","44"
"RCD04C01","Crime incident detection rates","2018","2018","0612","Robbery of cash or goods in transit","%","27"
"RCD04C01","Crime incident detection rates","2018","2018","0613","Robbery from the person","%","28"
"RCD04C01","Crime incident detection rates","2018","2018","0621","Blackmail or extortion","%","8"
"RCD04C01","Crime incident detection rates","2018","2018","0631","Carjacking, hijacking/unlawful seizure of an aircraft/vessel","%","28"
"RCD04C01","Crime incident detection rates","2018","2018","07","Burglary and related offences","%","18"
"RCD04C01","Crime incident detection rates","2018","2018","071","Burglary","%","17"
"RCD04C01","Crime incident detection rates","2018","2018","0713","Possession of an article (with intent to burgle, steal, demand)","%","92"
"RCD04C01","Crime incident detection rates","2018","2018","08","Theft and related offences","%","35"
"RCD04C01","Crime incident detection rates","2018","2018","081","Theft/taking of vehicle and related offences","%","15"
"RCD04C01","Crime incident detection rates","2018","2018","0821","Theft from person","%","12"
"RCD04C01","Crime incident detection rates","2018","2018","0822","Theft from shop","%","69"
"RCD04C01","Crime incident detection rates","2018","2018","084","Other thefts, handling stolen property","%","18"
"RCD04C01","Crime incident detection rates","2018","2018","09","Fraud, deception and related offences","%","29"
"RCD04C01","Crime incident detection rates","2018","2018","10","Controlled drug offences","%","92"
"RCD04C01","Crime incident detection rates","2018","2018","1011","Importation of drugs","%","73"
"RCD04C01","Crime incident detection rates","2018","2018","1012","Cultivation or manufacture of drugs","%","80"
"RCD04C01","Crime incident detection rates","2018","2018","1021","Possession of drugs for sale or supply","%","89"
"RCD04C01","Crime incident detection rates","2018","2018","1022","Possession of drugs for personal use","%","93"
"RCD04C01","Crime incident detection rates","2018","2018","103","Other Drug Offences","%","91"
"RCD04C01","Crime incident detection rates","2018","2018","11","Weapons and Explosives Offences","%","79"
"RCD04C01","Crime incident detection rates","2018","2018","111","Explosives, Chemical Weapons offences","%","11"
"RCD04C01","Crime incident detection rates","2018","2018","112","Firearms offences","%","48"
"RCD04C01","Crime incident detection rates","2018","2018","113","Offensive weapons offences (nec)","%","87"
"RCD04C01","Crime incident detection rates","2018","2018","114","Fireworks Offences","%","42"
"RCD04C01","Crime incident detection rates","2018","2018","12","Damage to property and the environment","%","20"
"RCD04C01","Crime incident detection rates","2018","2018","1211","Arson","%","12"
"RCD04C01","Crime incident detection rates","2018","2018","1212","Criminal damage (not arson)","%","21"
"RCD04C01","Crime incident detection rates","2018","2018","1221","Litter offences","%","20"
"RCD04C01","Crime incident detection rates","2018","2018","13","Public order and other social code offences","%","84"
"RCD04C01","Crime incident detection rates","2018","2018","131","Disorderly conduct","%","88"
"RCD04C01","Crime incident detection rates","2018","2018","132","Trespass offences","%","48"
"RCD04C01","Crime incident detection rates","2018","2018","133","Liquor licensing offences","%","73"
"RCD04C01","Crime incident detection rates","2018","2018","134","Prostitution offences","%","46"
"RCD04C01","Crime incident detection rates","2018","2018","135","Regulated Betting/Money, Collection/Trading Offences","%","83"
"RCD04C01","Crime incident detection rates","2018","2018","136","Other social code offences (nec)","%","80"
"RCD04C01","Crime incident detection rates","2018","2018","15","Offences against Government, Justice Procedures and Organisation of Crime","%","56"
"RCD04C01","Crime incident detection rates","2019","2019","01","Homicide offences","%","81"
"RCD04C01","Crime incident detection rates","2019","2019","011","Murder/manslaughter/infanticide","%","68"
"RCD04C01","Crime incident detection rates","2019","2019","012","Dangerous driving leading to death","%","100"
"RCD04C01","Crime incident detection rates","2019","2019","02","Sexual Offences","%","26"
"RCD04C01","Crime incident detection rates","2019","2019","021","Rape and sexual assault","%","25"
"RCD04C01","Crime incident detection rates","2019","2019","022","Other sexual offences","%","32"
"RCD04C01","Crime incident detection rates","2019","2019","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","%","36"
"RCD04C01","Crime incident detection rates","2019","2019","0311","Murder-attempt","%","41"
"RCD04C01","Crime incident detection rates","2019","2019","0313","Threat to kill or cause serious harm","%","32"
"RCD04C01","Crime incident detection rates","2019","2019","033","Harassment and related offences","%","13"
"RCD04C01","Crime incident detection rates","2019","2019","034","Assault causing harm, poisoning","%","51"
"RCD04C01","Crime incident detection rates","2019","2019","035","Other assault","%","34"
"RCD04C01","Crime incident detection rates","2019","2019","04","Dangerous of negligent acts","%","88"
