division,region
Limerick,Southern Region
Cork City,Southern Region
Cork North,Southern Region
Cork West,Southern Region
Waterford,Southern Region
Kerry,Southern Region
Tipperary,Southern Region
Clare,Southern Region
Kilkenny/Carlow,Southern Region

Laois/Offaly,Eastern Region
Kildare,Eastern Region
Meath,Eastern Region
Wicklow,Eastern Region
Westmeath,Eastern Region
Wexford,Eastern Region
Louth,Eastern Region

Donegal,North Western Region
Mayo,North Western Region
Sligo/Leitrim,North Western Region

Galway,Western Region
Roscommon/Longford,Western Region

Cavan/Monaghan,Northern Region

DMR North,Dublin Metropolitan Region
DMR South,Dublin Metropolitan Region
DMR East,Dublin Metropolitan Region
DMR West,Dublin Metropolitan Region
DMR North Central,Dublin Metropolitan Region
DMR South Central,Dublin Metropolitan Region
