raw,station_code,station_name,division
"35301 Abbeyfeale, Limerick Division",35301,Abbeyfeale,Limerick
"41201 Abbeyleix, Laois/Offaly Division",41201,Abbeyleix,Laois/Offaly
"35302 Adare, Limerick Division",35302,Adare,Limerick
"54101 Aglish, Waterford Division",54101,Aglish,Waterford
"23101 Ahascragh, Galway Division",23101,Ahascragh,Galway
"12501 Ailt an Chorraiin, Donegal Division",12501,Ailt an Chorraiin,Donegal
"12502 An Bun Beag, Donegal Division",12502,An Bun Beag,Donegal
"12503 An Charraig, Donegal Division",12503,An Charraig,Donegal
"23601 An Cheathru Rua, Galway Division",23601,An Cheathru Rua,Galway
"12504 An Clochain Liath, Donegal Division",12504,An Clochain Liath,Donegal
"34101 An Coirean, Kerry Division",34101,An Coirean,Kerry
"12401 An Craoslach, Donegal Division",12401,An Craoslach,Donegal
"12402 An Fail Carrach, Donegal Division",12402,An Fail Carrach,Donegal
"23201 An Maim, Galway Division",23201,An Maim,Galway
"54102 An Rinn, Waterford Division",54102,An Rinn,Waterford
"23602 An Spideal, Galway Division",23602,An Spideal,Galway
"31101 Anglesea Street, Cork City Division",31101,Anglesea Street,Cork City
"34303 Annascaul, Kerry Division",34303,Annascaul,Kerry
"23301 Aran More, Galway Division",23301,Aran More,Galway
"12507 Ard an Raitha, Donegal Division",12507,Ard an Raitha,Donegal
"14101 Ardee, Louth Division",14101,Ardee,Louth
"34304 Ardfert, Kerry Division",34304,Ardfert,Kerry
"51101 Ardfinnan, Tipperary Division",51101,Ardfinnan,Tipperary
"54103 Ardmore, Waterford Division",54103,Ardmore,Waterford
"35201 Ardnacrusha, Limerick Division",35201,Ardnacrusha,Limerick
"23401 Ardrahan, Galway Division",23401,Ardrahan,Galway
"43301 Arklow, Wicklow Division",43301,Arklow,Wicklow
"41202 Arles, Laois/Offaly Division",41202,Arles,Laois/Offaly
"11401 Arva, Cavan/Monaghan Division",11401,Arva,Cavan/Monaghan
"42101 Ashbourne, Meath Division",42101,Ashbourne,Meath
"43302 Ashford, Wicklow Division",43302,Ashford,Wicklow
"35303 Askeaton, Limerick Division",35303,Askeaton,Limerick
"35304 Athea, Limerick Division",35304,Athea,Limerick
"23302 Athenry, Galway Division",23302,Athenry,Galway
"24501 Athleague, Roscommon/Longford Division",24501,Athleague,Roscommon/Longford
"44101 Athlone, Westmeath Division",44101,Athlone,Westmeath
"45101 Athy, Kildare Division",45101,Athy,Kildare
"43303 Aughrim, Wicklow Division",43303,Aughrim,Wicklow
"43304 Avoca, Wicklow Division",43304,Avoca,Wicklow
"42201 Baile Atha Bui, Meath Division",42201,Baile Atha Bui,Meath
"34305 Baile an Fheirtéaraigh, Kerry Division",34305,Baile an Fheirtéaraigh,Kerry
